test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp,activity->feature->hyp_base,activity->obj->hyp_base,activity->selector->hyp_base
_8505e3d32d14ea58,6,120,5,5,202,2500,pbp02,blocked-sim-dis,187,458,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:54:35.229Z,,,
_2738d30ce1b1638f,1,120,2,5,113,2500,pbp02,interleaved-sim-sim,131,69,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:13.253Z,,,
_2738d30ce1b1638f,1,120,3,5,129,2500,pbp02,interleaved-sim-sim,131,62,"Only in the left scenes, exists: ( objects that are 1)",true,2022-05-24T14:55:13.255Z,,,
_2738d30ce1b1638f,1,120,1,5,128,2500,pbp02,interleaved-sim-sim,148,152,"Only in the left scenes, exists: ( objects that are 1)",true,2022-05-24T14:55:13.257Z,,,
_2738d30ce1b1638f,1,120,4,5,100,2500,pbp02,interleaved-sim-sim,96,98,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:13.260Z,,,
_2738d30ce1b1638f,1,120,5,5,111,2500,pbp02,interleaved-sim-sim,116,141,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:13.264Z,,,
_2738d30ce1b1638f,2,120,1,5,188,2500,pbp02,interleaved-sim-dis,169,314,"Only in the left scenes, exists: ( objects that are 1)",true,2022-05-24T14:55:17.647Z,,,
_2738d30ce1b1638f,2,120,2,5,103,2500,pbp02,interleaved-sim-dis,98,151,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:17.648Z,,,
_2738d30ce1b1638f,2,120,3,5,358,2500,pbp02,interleaved-sim-dis,267,1459,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:17.650Z,,,
_2738d30ce1b1638f,2,120,4,5,217,2500,pbp02,interleaved-sim-dis,180,652,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:17.653Z,,,
_2738d30ce1b1638f,2,120,5,5,50,2500,pbp02,interleaved-sim-dis,54,42,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:17.655Z,,,
_2738d30ce1b1638f,3,120,1,5,139,2500,pbp02,interleaved-dis-sim,107,41,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:21.017Z,,,
_2738d30ce1b1638f,3,120,4,5,47,2500,pbp02,interleaved-dis-sim,55,24,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:21.019Z,,,
_2738d30ce1b1638f,3,120,2,5,113,2500,pbp02,interleaved-dis-sim,118,74,"Only in the left scenes, exists: ( objects that are 1)",true,2022-05-24T14:55:21.022Z,,,
_2738d30ce1b1638f,3,120,3,5,227,2500,pbp02,interleaved-dis-sim,209,195,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:21.026Z,,,
_2738d30ce1b1638f,3,120,5,5,199,2500,pbp02,interleaved-dis-sim,190,178,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:21.029Z,,,
_2738d30ce1b1638f,4,120,1,5,65,2500,pbp02,interleaved-dis-dis,74,30,"Only in the right scenes, exists: ( objects that are 2)",true,2022-05-24T14:55:24.887Z,,,
_2738d30ce1b1638f,4,120,2,5,305,2500,pbp02,interleaved-dis-dis,262,771,"Only in the left scenes, exists: ( objects that are 1)",true,2022-05-24T14:55:24.889Z,,,
_2738d30ce1b1638f,4,120,3,5,246,2500,pbp02,interleaved-dis-dis,227,313,"Only in the left scenes, all: (top-most objects that are 1)",true,2022-05-24T14:55:24.891Z,,,
_2738d30ce1b1638f,4,120,4,5,149,2500,pbp02,interleaved-dis-dis,140,245,"Only in the left scenes, exists: ( objects that are 1)",true,2022-05-24T14:55:24.893Z,,,
