test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp,activity->feature->hyp_base,activity->obj->hyp_base,activity->selector->hyp_base
_73b8b560d2b4414e,2,240,19,25,150,2500,pbp02,interleaved-sim-sim,199,122,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.616Z,,,10
_73b8b560d2b4414e,2,240,11,25,57,2500,pbp02,interleaved-sim-sim,45,28,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.617Z,,,10
_73b8b560d2b4414e,2,240,12,25,107,2500,pbp02,interleaved-sim-sim,101,76,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.625Z,,,10
_73b8b560d2b4414e,2,240,17,25,144,2500,pbp02,interleaved-sim-sim,133,215,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.629Z,,,10
_73b8b560d2b4414e,2,240,10,25,254,2500,pbp02,interleaved-sim-sim,260,267,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.630Z,,,10
_73b8b560d2b4414e,2,240,16,25,477,2500,pbp02,interleaved-sim-sim,459,1454,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.632Z,,,10
_73b8b560d2b4414e,2,240,15,25,114,2500,pbp02,interleaved-sim-sim,116,64,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.633Z,,,10
_73b8b560d2b4414e,2,240,9,25,296,2500,pbp02,interleaved-sim-sim,276,908,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.634Z,,,10
_73b8b560d2b4414e,2,240,25,25,63,2500,pbp02,interleaved-sim-sim,60,37,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.635Z,,,10
_73b8b560d2b4414e,2,240,14,25,212,2500,pbp02,interleaved-sim-sim,217,478,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.646Z,,,10
_73b8b560d2b4414e,2,240,8,25,176,2500,pbp02,interleaved-sim-sim,163,397,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.647Z,,,10
_73b8b560d2b4414e,2,240,7,25,219,2500,pbp02,interleaved-sim-sim,186,473,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.647Z,,,10
_73b8b560d2b4414e,2,240,23,25,225,2500,pbp02,interleaved-sim-sim,240,181,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.648Z,,,10
_73b8b560d2b4414e,2,240,6,25,78,2500,pbp02,interleaved-sim-sim,60,48,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.649Z,,,10
_73b8b560d2b4414e,2,240,5,25,41,2500,pbp02,interleaved-sim-sim,40,23,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.650Z,,,10
_73b8b560d2b4414e,2,240,24,25,57,2500,pbp02,interleaved-sim-sim,57,26,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.654Z,,,10
_73b8b560d2b4414e,2,240,4,25,78,2500,pbp02,interleaved-sim-sim,63,36,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.655Z,,,10
_73b8b560d2b4414e,2,240,3,25,465,2500,pbp02,interleaved-sim-sim,469,1078,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.656Z,,,10
_73b8b560d2b4414e,2,240,2,25,294,2500,pbp02,interleaved-sim-sim,263,246,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.657Z,,,10
_73b8b560d2b4414e,2,240,1,25,249,2500,pbp02,interleaved-sim-sim,260,161,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.662Z,,,10
_73b8b560d2b4414e,2,240,22,25,364,2500,pbp02,interleaved-sim-sim,396,843,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:34.663Z,,,10
_73b8b560d2b4414e,2,240,21,25,507,2500,pbp02,interleaved-sim-sim,520,2447,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:34.666Z,,,10
_72925f6df15a9999,1,240,25,25,155,2500,pbp02,interleaved-sim-sim,184,207,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:48.560Z,,,0.1
_72925f6df15a9999,1,240,6,25,930,2500,pbp02,interleaved-sim-sim,752,5073,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:48.561Z,,,0.1
_72925f6df15a9999,1,240,18,25,661,2500,pbp02,interleaved-sim-sim,627,3115,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:48.562Z,,,0.1
_72925f6df15a9999,1,240,23,25,1251,2500,pbp02,interleaved-sim-sim,836,8386,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:48.563Z,,,0.1
_72925f6df15a9999,1,240,4,25,1000,2500,pbp02,interleaved-sim-sim,693,4659,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:48.563Z,,,0.1
