test_id,step_idx,step_count,pbp,pres_mode,rep,reps,solved,steps,perception_count,retrieval_count,sol,timestamp
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",3,100,true,94,83,42,"Only in the right scenes, exists: ( objects that are 2)",2015-01-13T22:12:38.867Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",7,100,true,45,30,27,"Only in the left scenes, exists: ( objects that are 1)",2015-01-13T22:12:38.871Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",2,100,true,173,175,145,"Only in the left scenes, exists: ( objects that are 1)",2015-01-13T22:12:38.872Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",1,100,true,124,129,70,"Only in the right scenes, exists: ( objects that are 2)",2015-01-13T22:12:38.874Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",4,100,true,248,258,260,"Only in the left scenes, all: ( objects that are not close (not left objects))",2015-01-13T22:12:38.875Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",5,100,true,111,83,80,"Only in the left scenes, exists: ( objects that are 1)",2015-01-13T22:12:38.876Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",6,100,true,84,143,58,"Only in the right scenes, exists: ( objects that are 2)",2015-01-13T22:12:38.955Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",8,100,true,130,108,92,"Only in the right scenes, exists: ( objects that are 2)",2015-01-13T22:12:38.958Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",9,100,true,398,447,651,"Only in the left scenes, all: (top-most objects that are 1)",2015-01-13T22:12:38.959Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",10,100,true,112,100,65,"Only in the right scenes, exists: ( objects that are 2)",2015-01-13T22:12:38.960Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",11,100,true,47,44,31,"Only in the right scenes, exists: ( objects that are 2)",2015-01-13T22:12:38.960Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",12,100,true,43,41,23,"Only in the right scenes, exists: ( objects that are 2)",2015-01-13T22:12:38.962Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",13,100,true,406,356,435,"Only in the left scenes, exists: ( objects that are 1)",2015-01-13T22:12:38.966Z
"_b2859e87db629d15",1,112,"pbp02","interleaved-sim-sim",14,100,true,106,95,61,"Only in the left scenes, exists: ( objects that are 1)",2015-01-13T22:12:38.968Z
