test_id,step_idx,step_count,pbp,pres_mode,rep,reps,solved,steps,perception_count,retrieval_count,sol,timestamp
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",4,100,true,212,252,149,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.783Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",3,100,true,98,69,51,"Only in the right scenes, exists: ( objects that are 2)",2015-01-27T13:17:28.787Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",1,100,true,563,559,793,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.789Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",7,100,true,258,284,255,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.790Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",5,100,true,210,213,144,"Only in the right scenes, exists: ( objects that are 2)",2015-01-27T13:17:28.791Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",2,100,true,47,64,27,"Only in the right scenes, exists: ( objects that are 2)",2015-01-27T13:17:28.793Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",6,100,true,67,74,46,"Only in the left scenes, all: ( objects that are not hits (moves objects))",2015-01-27T13:17:28.803Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",8,100,true,240,239,230,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.805Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",9,100,true,42,49,22,"Only in the right scenes, exists: ( objects that are 2)",2015-01-27T13:17:28.807Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",10,100,true,103,88,54,"Only in the right scenes, exists: ( objects that are 2)",2015-01-27T13:17:28.808Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",11,100,true,32,27,28,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.808Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",12,100,true,167,133,146,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.810Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",13,100,true,142,158,68,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.814Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",14,100,true,49,41,25,"Only in the right scenes, exists: ( objects that are 2)",2015-01-27T13:17:28.816Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",15,100,true,127,123,93,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.817Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",16,100,true,64,71,39,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.818Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",17,100,true,32,36,17,"Only in the left scenes, exists: ( objects that are 1)",2015-01-27T13:17:28.819Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",18,100,true,474,470,627,"Only in the right scenes, exists: ( objects that are 2)",2015-01-27T13:17:28.820Z
"_aec944b33dc73640",1,112,"pbp02","interleaved-sim-sim",19,100,true,253,305,192,"Only in the right scenes, exists: ( objects that are 2)",2015-01-27T13:17:28.823Z
