test_id,step_idx,step_count,pbp,pres_mode,rep,reps,solved,steps,perception_count,retrieval_count,sol,timestamp
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",3,100,true,141,104,91,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.091Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",2,100,true,138,132,61,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.100Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",1,100,true,482,534,770,"Only in the right scenes, exists: ( objects that are 2)",2015-01-22T13:56:51.101Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",7,100,true,80,56,56,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.102Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",4,100,true,50,53,25,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.103Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",5,100,true,162,163,132,"Only in the right scenes, exists: ( objects that are 2)",2015-01-22T13:56:51.105Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",6,100,true,199,197,193,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.123Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",8,100,true,157,91,169,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.125Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",9,100,true,155,164,147,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.127Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",10,100,true,171,157,120,"Only in the left scenes, all: ( objects that are not left-of (on-ground objects) at the end and not left-of (stable objects))",2015-01-22T13:56:51.128Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",11,100,true,72,90,37,"Only in the right scenes, exists: ( objects that are 2)",2015-01-22T13:56:51.129Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",12,100,true,85,68,47,"Only in the right scenes, exists: ( objects that are 2)",2015-01-22T13:56:51.130Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",13,100,true,150,77,137,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.135Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",14,100,true,101,84,60,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.136Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",15,100,true,145,151,91,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.137Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",16,100,true,92,87,50,"Only in the right scenes, exists: ( objects that are 2)",2015-01-22T13:56:51.139Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",17,100,true,52,46,27,"Only in the right scenes, exists: ( objects that are 2)",2015-01-22T13:56:51.140Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",18,100,true,73,92,39,"Only in the right scenes, exists: ( objects that are 2)",2015-01-22T13:56:51.141Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",19,100,true,58,60,35,"Only in the right scenes, exists: ( objects that are 2)",2015-01-22T13:56:51.144Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",20,100,true,197,193,143,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.144Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",21,100,true,102,96,61,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.147Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",22,100,true,256,237,165,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.147Z
"_9d625b1bdf88718f",1,112,"pbp02","interleaved-sim-sim",23,100,true,134,139,99,"Only in the left scenes, exists: ( objects that are 1)",2015-01-22T13:56:51.148Z
